9643994;147999780	5;1698115244
1895509;113540579	5;1641776936
9643994;76013371	5;1705233297
1895509;39001	5;1628597547
1895509;73787186	5;1611804020
9643994;3304877	5;1689980174
1895509;3304877	5;1607239040
1895509;13419679	5;1600255502
1895509;52788073	5;1603612045
1895509;72744613	5;1614537485
1895509;56454898	5;1616942136
9643994;164091968	5;1698115252
1895509;10920496	5;1628597534
1895509;59478516	5;1605457166
9643994;72542476	5;1616766577
1895509;177227	5;1599332997
1895509;8886002	5;1639287317
1895509;54003814	5;1615625008
1895509;22528675	5;1615868563
1895509;96357337	5;1628597529
1895509;54433519	5;1599131985
1895509;72459687	5;1632555849
1895509;4313655	5;1619621767
9643994;54614798	5;1640167170
9643994;188767667	5;1691155368
1895509;14643412	5;1607697107
1895509;58441510	5;1639287327
1895509;74217683	5;1611997830
9643994;109505435	5;1633004794
1895509;101297003	5;1625914084
1895509;54748900	5;1607239052
9643994;126743460	5;1694704424
1895509;10325549	5;1617374381
1895509;626888	5;1599132017
9643994;75307229	5;1685761482
1895509;75307229	5;1615692039
9643994;10772070	5;1626855515
1895509;15397972	5;1617556780
1895509;55704242	5;1618142848
1895509;59618903	5;1623782398
1895509;66619716	5;1609094049
9643994;72102027	5;1691580307
1895509;45663009	5;1603736265
1895509;89204254	5;1629389388
9643994;31509727	5;1690113614
9643994;8886000	5;1692026535
1895509;8886000	5;1606641039
9643994;111285055	5;1687431572
